mapping_row_id,wind_name,wind_code,industry_code,function_type,calculation_type,ValueChain_type,candidate_rank,candidate_strength,match_score,name_feature_recall,uqer_indic_id,uqer_name,uqer_frequency,uqer_unit,uqer_stat_type,uqer_region,uqer_source,uqer_api,uqer_begin_date,uqer_end_date,uqer_is_update,conflict_flag,人工审核结论,人工审核备注,审核提示
118,中国:出口金额:航空器、航天器及其零件(HS88章):当月值,M0053738,801740,需求,当期值,下游,1,中等候选,0.777032,0.565081,2087005761,出口金额(美元):航空器、航天器及其零件(88):当月值,月,美元,当期值,中国,海关总署,getEcoDataIndMachineryequipment,2015/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
119,中国:新接船舶订单量:累计值,S6000031,801740,需求,累计值,下游,1,中等候选,0.5851,0.415569,2160029362,全国造船新订单量:累计值,月,万载重吨,累计值,nan,中国船舶工业行业协会,getEcoDataIndTraffictransport,2013/12/31,2026/3/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
120,中国:手持船舶订单量:累计值,S6000033,801740,需求,累计值,中游,1,中等候选,0.622736,0.463269,2160029363,全国造船手持订单量:累计值,月,万载重吨,累计值,nan,中国船舶工业行业协会,getEcoDataIndTraffictransport,2013/12/31,2026/3/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
131,中国:民航货邮运输量:当月同比,S0036037,801170,运输/流通,同比,下游,1,强候选,0.785297,0.627474,2160702614,春秋航空:货邮运输量:当月同比,月,%,当期同比,nan,上市公司公告,getEcoDataIndTraffictransport,2016/2/29,2026/5/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
140,南方航空:可用座公里:国内:当月值,S0044858,801170,产量,当期值,中游,1,强候选,0.826841,0.657818,2160001723,南方航空:可用客公里:国内航线:当月值,月,百万客公里,当期值,nan,上市公司公告,getEcoDataIndTraffictransport,2001/6/30,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
141,东方航空:可用座公里:国内:当月值,S0048023,801170,产量,当期值,中游,1,强候选,0.781047,0.60861,2160702437,春秋航空:可用吨公里:国内:当月值,月,万吨公里,当期值,nan,上市公司公告,getEcoDataIndTraffictransport,2016/1/31,2026/5/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
145,波罗的海干散货指数(BDI),S0031550,801170,运输/流通,指数,中游,1,中等候选,0.586783,0.566806,2160000004,波罗的海运价指数:干散货(BDI),日,nan,当期值,nan,波罗的海航运交易所,getEcoDataIndTraffictransport,1988/10/19,2026/8/7,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
151,中国:发电装机容量:光伏:累计值,C7916637,801730,产量,累计值,下游,1,中等候选,0.65045,0.386392,2020657645,发电设备装机容量:风电:累计值,月,万千瓦,累计值,全国,中国电力企业联合会,getEcoDataIndEnergy,2008/12/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
152,中国:发电装机容量:光伏:累计同比,N7394634,801730,产量,同比,下游,1,中等候选,0.643907,0.418297,2020766483,并网容量:光伏发电:累计同比,季,%,累计同比,全国,国家能源局,getEcoDataIndEnergy,2014/12/31,2026/3/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
154,中国:发电装机容量:累计同比,S5151670,801730,产量,同比,下游,1,中等候选,0.674125,0.583244,2020642081,发电装机容量:福建:合计:同比,年,%,当期同比,全国,中国电力年鉴,getEcoDataIndEnergy,2005/12/31,2022/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
162,中国:电网基本建设投资完成额:累计同比,S5108466,801730,需求,同比,下游,1,强候选,0.801726,0.615214,2020104982,电网基本建设工程投资完成:累计同比,月,%,累计同比,全国,中国电力企业联合会,getEcoDataIndEnergy,2009/12/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
164,中国:电源基本建设投资完成额:累计同比,S5108461,801730,需求,同比,下游,1,中等候选,0.715496,0.467851,2020104982,电网基本建设工程投资完成:累计同比,月,%,累计同比,全国,中国电力企业联合会,getEcoDataIndEnergy,2009/12/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
165,中国:电源基本建设投资完成额:太阳能:累计同比,A5699963,801730,需求,同比,下游,1,中等候选,0.652861,0.373699,2020104982,电网基本建设工程投资完成:累计同比,月,%,累计同比,全国,中国电力企业联合会,getEcoDataIndEnergy,2009/12/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
166,中国:电源基本建设投资完成额:风电:累计同比,S5108465,801730,需求,同比,下游,1,中等候选,0.670811,0.399598,2020104982,电网基本建设工程投资完成:累计同比,月,%,累计同比,全国,中国电力企业联合会,getEcoDataIndEnergy,2009/12/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
167,中国:30大中城市:成交面积:商品房,S2707380,801180,需求,当期值,中游,1,中等候选,0.603186,0.634439,2170926744,30大中城市:商品房成交面积,日,万平方米,当期值,nan,Datayes!,getEcoDataIndRealestate,2010/1/1,2026/8/6,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
185,中国:保费收入:保险公司:累计值,M0012260,801790,需求,累计值,中游,1,中等候选,0.735753,0.570751,1070005736,原保险保费收入:财产保险公司:意外险:累计值,月,亿元,累计值,中国,中国银行保险监督管理委员会,getEcoDataIndFinancialservices,2019/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
190,"中国:日均销量(当周,厂家零售):乘用车:同比",S6126414,801880,需求,同比,下游,1,中等候选,0.672693,0.473816,2070928297,当周日均销量:乘用车:厂家零售:同比,周,%,当期同比,全国,全国乘用车市场信息联席会,getEcoDataIndAutomobile,2010/11/5,2026/7/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
191,"中国:日均销量(当周,厂家批发):乘用车:同比",S6126412,801880,需求,同比,下游,1,中等候选,0.674844,0.478393,2070928298,当周日均销量:乘用车:厂家批发:同比,周,%,当期同比,全国,全国乘用车市场信息联席会,getEcoDataIndAutomobile,2015/3/6,2026/7/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
196,中国:出口数量:乘用车:当月值,S0270095,801880,需求,当期值,下游,1,强候选,0.793351,0.626279,2070807133,韩国:汽车出口量:乘用车:当月值,月,辆,当期值,nan,Datayes!,getEcoDataIndAutomobile,1999/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
197,中国:出口金额:汽车零配件:当月同比,M7071823,801880,需求,同比,上游,1,中等候选,0.639627,0.422768,2070200136,汽车零件:出口金额:当月同比,月,%,当期同比,nan,海关总署,getEcoDataIndAutomobile,1999/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
198,中国:出口数量:汽车轮胎:当月值,S0270100,801880,需求,当期值,上游,1,中等候选,0.711112,0.498963,2070201003,出口数量:汽车:CKD:当月值,月,辆,当期值,全国,Datayes!,getEcoDataIndAutomobile,2016/1/31,2023/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
200,中国:出口数量:车用发动机:当月值,S0270099,801880,需求,当期值,上游,1,中等候选,0.640741,0.60796,2087013505,"出口数量:车用往复活塞发动机,排量≤50ml(840731):当月值",月,台,当期值,中国,海关总署,getEcoDataIndMachineryequipment,2015/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
201,中国:出口金额:汽车轮胎:当月值,S0270299,801880,需求,当期值,上游,1,中等候选,0.608667,0.495791,2030715835,出口金额:小客车用新充气轮胎:当月值:江西,月,万美元,当期值,江西省,Datayes!,getEcoDataIndChemical,2019/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
