指数代码,指数简称,observations,minimum,minimum_date,maximum,maximum_date,latest,latest_date,share_above_zero,share_above_one
CI011800.WI,国泰海通资产配置,617,-1.5244999231187517,2024-02-05,3.986678318473616,2026-01-29,2.6806430037999625,2026-08-05,0.7244732576985413,0.46029173419773095
CICSF040.WI,中信期货大类资产配置,2564,-0.1854609372237829,2023-03-22,3.898377264691292,2024-05-20,1.964303497434823,2026-08-05,0.998829953198128,0.8896255850234009
CI011001.WI,国泰海通全天候,4017,-0.5371879811701322,2023-03-22,4.081889477539376,2024-04-19,2.1996737357969893,2026-08-05,0.9835698282300224,0.7600199153597211
GALLW.WI,银河全天候,984,-0.08495937340686865,2022-09-28,3.2555057867366486,2026-01-29,0.9411282591257343,2026-08-05,0.9949186991869918,0.741869918699187
