指数代码,日期,rolling_return,rolling_volatility,rolling_sharpe,rolling_drawdown
CI011800.WI,2023-08-09,,,,
CI011800.WI,2023-08-10,,,,
CI011800.WI,2023-08-11,,,,
CI011800.WI,2023-08-14,,,,
CI011800.WI,2023-08-15,,,,
CI011800.WI,2023-08-16,,,,
CI011800.WI,2023-08-17,,,,
CI011800.WI,2023-08-18,,,,
CI011800.WI,2023-08-21,,,,
CI011800.WI,2023-08-22,,,,
CI011800.WI,2023-08-23,,,,
CI011800.WI,2023-08-24,,,,
CI011800.WI,2023-08-25,,,,
CI011800.WI,2023-08-28,,,,
CI011800.WI,2023-08-29,,,,
CI011800.WI,2023-08-30,,,,
CI011800.WI,2023-08-31,,,,
CI011800.WI,2023-09-01,,,,
CI011800.WI,2023-09-04,,,,
CI011800.WI,2023-09-05,,,,
CI011800.WI,2023-09-06,,,,
CI011800.WI,2023-09-07,,,,
CI011800.WI,2023-09-08,,,,
CI011800.WI,2023-09-11,,,,
CI011800.WI,2023-09-12,,,,
CI011800.WI,2023-09-13,,,,
CI011800.WI,2023-09-14,,,,
CI011800.WI,2023-09-15,,,,
CI011800.WI,2023-09-18,,,,
CI011800.WI,2023-09-19,,,,
CI011800.WI,2023-09-20,,,,
CI011800.WI,2023-09-21,,,,
CI011800.WI,2023-09-22,,,,
CI011800.WI,2023-09-25,,,,
CI011800.WI,2023-09-26,,,,
CI011800.WI,2023-09-27,,,,
CI011800.WI,2023-09-28,,,,
CI011800.WI,2023-10-09,,,,
CI011800.WI,2023-10-10,,,,
CI011800.WI,2023-10-11,,,,
CI011800.WI,2023-10-12,,,,
CI011800.WI,2023-10-13,,,,
CI011800.WI,2023-10-16,,,,
CI011800.WI,2023-10-17,,,,
CI011800.WI,2023-10-18,,,,
CI011800.WI,2023-10-19,,,,
CI011800.WI,2023-10-20,,,,
CI011800.WI,2023-10-23,,,,
CI011800.WI,2023-10-24,,,,
CI011800.WI,2023-10-25,,,,
CI011800.WI,2023-10-26,,,,
CI011800.WI,2023-10-27,,,,
CI011800.WI,2023-10-30,,,,
CI011800.WI,2023-10-31,,,,
CI011800.WI,2023-11-01,,,,
CI011800.WI,2023-11-02,,,,
CI011800.WI,2023-11-03,,,,
CI011800.WI,2023-11-06,,,,
CI011800.WI,2023-11-07,,,,
CI011800.WI,2023-11-08,,,,
CI011800.WI,2023-11-09,,,,
CI011800.WI,2023-11-10,,,,
CI011800.WI,2023-11-13,,,,
CI011800.WI,2023-11-14,,,,
CI011800.WI,2023-11-15,,,,
CI011800.WI,2023-11-16,,,,
CI011800.WI,2023-11-17,,,,
CI011800.WI,2023-11-20,,,,
CI011800.WI,2023-11-21,,,,
CI011800.WI,2023-11-22,,,,
CI011800.WI,2023-11-23,,,,
CI011800.WI,2023-11-24,,,,
CI011800.WI,2023-11-27,,,,
CI011800.WI,2023-11-28,,,,
CI011800.WI,2023-11-29,,,,
CI011800.WI,2023-11-30,,,,
CI011800.WI,2023-12-01,,,,
CI011800.WI,2023-12-04,,,,
CI011800.WI,2023-12-05,,,,
CI011800.WI,2023-12-06,,,,
CI011800.WI,2023-12-07,,,,
CI011800.WI,2023-12-08,,,,
CI011800.WI,2023-12-11,,,,
CI011800.WI,2023-12-12,,,,
CI011800.WI,2023-12-13,,,,
CI011800.WI,2023-12-14,,,,
CI011800.WI,2023-12-15,,,,
CI011800.WI,2023-12-18,,,,
CI011800.WI,2023-12-19,,,,
CI011800.WI,2023-12-20,,,,
CI011800.WI,2023-12-21,,,,
CI011800.WI,2023-12-22,,,,
CI011800.WI,2023-12-25,,,,
CI011800.WI,2023-12-26,,,,
CI011800.WI,2023-12-27,,,,
CI011800.WI,2023-12-28,,,,
CI011800.WI,2023-12-29,,,,
CI011800.WI,2024-01-02,,,,
CI011800.WI,2024-01-03,,,,
CI011800.WI,2024-01-04,,,,
CI011800.WI,2024-01-05,,,,
CI011800.WI,2024-01-08,,,,
CI011800.WI,2024-01-09,,,,
CI011800.WI,2024-01-10,,,,
CI011800.WI,2024-01-11,,,,
CI011800.WI,2024-01-12,,,,
CI011800.WI,2024-01-15,,,,-0.08911216889056128
CI011800.WI,2024-01-16,-0.010757508597600607,0.08273632020493674,-0.26947035272282854,-0.08949101790138947
CI011800.WI,2024-01-17,-0.02315087687779871,0.08339506645854415,-0.41785049552372017,-0.09920828566999518
CI011800.WI,2024-01-18,-0.032428837058463666,0.08292971820900556,-0.5357222010421729,-0.0999876478109637
CI011800.WI,2024-01-19,-0.03698245635975761,0.08296708939889456,-0.5922943907197442,-0.10281226666127785
CI011800.WI,2024-01-22,-0.059540642679070666,0.0850947153562623,-0.8538630268474403,-0.12031960583682355
CI011800.WI,2024-01-23,-0.057426810134719286,0.08516439704681723,-0.8267387259744933,-0.11721799574673253
CI011800.WI,2024-01-24,-0.04777869024920289,0.0853659300043236,-0.7053145880512411,-0.11141146561681248
CI011800.WI,2024-01-25,-0.0352190214681537,0.08645197474290311,-0.5438407601204579,-0.09942729353161273
CI011800.WI,2024-01-26,-0.0408277836633133,0.08634625585933033,-0.6121265725035726,-0.10077838816585649
CI011800.WI,2024-01-29,-0.05753583452302524,0.08681182629915851,-0.8107607167893054,-0.11088588315921477
CI011800.WI,2024-01-30,-0.06675642977201102,0.08731752873660446,-0.918129408370591,-0.11943374361352233
CI011800.WI,2024-01-31,-0.07896157171166962,0.08792830631183951,-1.0608162689162226,-0.12903677411432668
CI011800.WI,2024-02-01,-0.08592887496346968,0.08782934766827914,-1.148537436914916,-0.1316375607403193
CI011800.WI,2024-02-02,-0.10031358598111317,0.08821680993032434,-1.3228443317358307,-0.14069507415273041
CI011800.WI,2024-02-05,-0.11756241157993941,0.08918355467803799,-1.5244999231187517,-0.15316159148261488
CI011800.WI,2024-02-06,-0.10036557343101216,0.09096937196112367,-1.280761215903755,-0.13832430949943408
CI011800.WI,2024-02-07,-0.09975013243273101,0.09104195025621381,-1.2721600467412848,-0.13015893908441056
CI011800.WI,2024-02-08,-0.0915803835451382,0.09167515514725957,-1.1642426063192695,-0.12102414484302482
CI011800.WI,2024-02-19,-0.08787302449207957,0.091689075308488,-1.1196481551418451,-0.1192731742586206
CI011800.WI,2024-02-20,-0.07757861156089385,0.09194638072665681,-0.9942407855450379,-0.11276601922808915
CI011800.WI,2024-02-21,-0.07582057879138338,0.0920023860845231,-0.9728902012810129,-0.10980040155082316
CI011800.WI,2024-02-22,-0.06673051254760232,0.09220527064623638,-0.8644262513585195,-0.1039930521895005
CI011800.WI,2024-02-23,-0.07197351124686735,0.09175078901550912,-0.9305445406036117,-0.1001998287442265
CI011800.WI,2024-02-26,-0.06913846466129248,0.09171604324393672,-0.8976831731784777,-0.10001331706157712
CI011800.WI,2024-02-27,-0.06776443783528796,0.09183441461927613,-0.8803519058830057,-0.09302691166054833
CI011800.WI,2024-02-28,-0.08185905681146388,0.09292018761223815,-1.0328851977831806,-0.10614144102985756
CI011800.WI,2024-02-29,-0.07005556370187282,0.09382289828379975,-0.8859509410634023,-0.0948233951006503
CI011800.WI,2024-03-01,-0.057473951483108854,0.09344860530956119,-0.7461027176924743,-0.09133765650847026
CI011800.WI,2024-03-04,-0.050139128505156116,0.09335340019005672,-0.663936905211114,-0.08904380858130323
CI011800.WI,2024-03-05,-0.061295703801790946,0.09268608164989418,-0.7968259036309123,-0.08990045155124649
CI011800.WI,2024-03-06,-0.062550305457031,0.09266522987884848,-0.811455337418486,-0.08941692297231352
CI011800.WI,2024-03-07,-0.06498370426214661,0.09268400421446653,-0.8393084020694926,-0.09142950145126838
CI011800.WI,2024-03-08,-0.05772987862414658,0.09281895695680015,-0.7547147210405246,-0.08666303109975348
CI011800.WI,2024-03-11,-0.05146556772853805,0.09290652829347838,-0.6826110740200729,-0.08270659855394735
CI011800.WI,2024-03-12,-0.04877353787811678,0.09285147866265096,-0.6525538024214546,-0.0832324540886793
CI011800.WI,2024-03-13,-0.05414905091932498,0.09267287882952949,-0.7151294273051461,-0.08335160674489595
CI011800.WI,2024-03-14,-0.06221296601935411,0.09237307646879302,-0.8104181926446236,-0.08454103971570115
CI011800.WI,2024-03-15,-0.056767098901105095,0.09245216212899948,-0.7470298712561013,-0.0809455241155782
CI011800.WI,2024-03-18,-0.05229378877802404,0.09263722544182475,-0.6942909547209383,-0.07565046745798953
