指数代码,日期,rolling_return,rolling_volatility,rolling_sharpe,rolling_drawdown
CICSF040.WI,2018-06-06,0.08945599361657952,0.04100470149210372,1.747157131965559,-0.0036886975776466713
CICSF040.WI,2018-06-07,0.09135338039403362,0.04107206228771894,1.786739695419592,-0.0009011616250987897
CICSF040.WI,2018-06-08,0.08909748846127141,0.04118848826859439,1.7315505387630423,-0.003894429823168899
CICSF040.WI,2018-06-11,0.09218772166651457,0.041173578665160165,1.8010027578309094,-0.0023516593352287396
CICSF040.WI,2018-06-12,0.08896563289217796,0.04118680308700259,1.7286790295036982,-0.0036621351604565477
CICSF040.WI,2018-06-13,0.09037745784171425,0.04115209537664917,1.761597469954435,-0.0037695232185250838
CICSF040.WI,2018-06-14,0.08608045113524421,0.04114199971699504,1.6660116663327562,-0.005295281110693439
CICSF040.WI,2018-06-15,0.08392241473898032,0.041173614606100875,1.6164411827021914,-0.00660714830063136
CICSF040.WI,2018-06-19,0.07934854153180626,0.04119973552737048,1.5127719056399491,-0.008646635990026241
CICSF040.WI,2018-06-20,0.07864172736209407,0.0411912150743464,1.4971684149364926,-0.00814049545485418
CICSF040.WI,2018-06-21,0.07657722216047214,0.041223480051812235,1.4495408123097773,-0.009478545598879395
CICSF040.WI,2018-06-22,0.07997743362311804,0.04132778912208733,1.5223104581720166,-0.006269805602317269
CICSF040.WI,2018-06-25,0.0793269349848611,0.04135123963270761,1.5068955633499888,-0.007857795443331095
CICSF040.WI,2018-06-26,0.08681284714871396,0.04122104113468805,1.6792542562859247,-0.004881982547985886
CICSF040.WI,2018-06-27,0.08882659746620125,0.04119107683969858,1.7254024139133075,-0.004286731427526225
CICSF040.WI,2018-06-28,0.0873418950312419,0.04105043759754137,1.6979228722858029,-0.0004478297050546365
CICSF040.WI,2018-06-29,0.09516220300195277,0.04168319194014819,1.844755928222739,0.0
CICSF040.WI,2018-07-02,0.09232197813239318,0.04178719878013384,1.7781023503994926,-0.002604746555441184
CICSF040.WI,2018-07-03,0.09459349251353566,0.041828154743625424,1.826084186057745,-0.0003925425086925838
CICSF040.WI,2018-07-04,0.08818164140839357,0.04178351808400133,1.6873366583188807,-0.002664403471655863
CICSF040.WI,2018-07-05,0.08143449386062529,0.041730060696775095,1.540350977139973,-0.005086160286202568
CICSF040.WI,2018-07-06,0.07918279425541996,0.04176594946542045,1.4891430923859028,-0.006526780617656436
CICSF040.WI,2018-07-09,0.08512901967474407,0.04177568763950755,1.620378268224799,-0.0034082938184759604
CICSF040.WI,2018-07-10,0.0808611108935351,0.041624113630692135,1.5314208073500801,-0.003467950734690639
CICSF040.WI,2018-07-11,0.07294384030195178,0.042779734905957476,1.3192891649453575,-0.01343781457248916
CICSF040.WI,2018-07-12,0.07797954889984426,0.04293711525904604,1.4236933504222218,-0.009422590127471264
CICSF040.WI,2018-07-13,0.08317163058416699,0.04268527027976285,1.5444424438958473,-0.00895732897775059
CICSF040.WI,2018-07-16,0.0787014844266285,0.04262865875911411,1.4493960525746497,-0.010122773933569862
CICSF040.WI,2018-07-17,0.07878350972486592,0.04262758209123783,1.4512159029865979,-0.01037911028303129
CICSF040.WI,2018-07-18,0.08051422248544293,0.042604015746537605,1.4896330691460575,-0.00989934308315743
CICSF040.WI,2018-07-19,0.08209937595481565,0.04264474696047845,1.522637675176126,-0.007695616598186961
CICSF040.WI,2018-07-20,0.07832101048346796,0.04250667564812153,1.4451321925860425,-0.0074692970970945405
CICSF040.WI,2018-07-23,0.07783965648649716,0.042501309908521336,1.434800761233322,-0.006886794407823582
CICSF040.WI,2018-07-24,0.07659307633292767,0.04244683216565676,1.4093170209800618,-0.005192663580834145
CICSF040.WI,2018-07-25,0.07870000372808161,0.0425141636823225,1.4531532089115426,-0.002472622185214046
CICSF040.WI,2018-07-26,0.07791269555151858,0.0425155375558772,1.435929072775358,-0.0026142916620354173
CICSF040.WI,2018-07-27,0.07870247888069004,0.04251997739188259,1.453014289216272,-0.001690928192539909
CICSF040.WI,2018-07-30,0.07560981716481296,0.04245255215571424,1.3876030778139512,-0.0018370562388889677
CICSF040.WI,2018-07-31,0.07608804822079263,0.04245728272672394,1.3979259561422754,-0.000873000472859542
CICSF040.WI,2018-08-01,0.0747286444360713,0.042506390058280996,1.3666125833649423,-0.0028563731483592925
CICSF040.WI,2018-08-02,0.0722761305299886,0.04256979125182756,1.3109581294022847,-0.004883640754842156
CICSF040.WI,2018-08-03,0.07321359597908805,0.04259028261627389,1.3308721896110687,-0.0031790228699498657
CICSF040.WI,2018-08-06,0.071323200920135,0.042511377067758344,1.2917813581411757,-0.0018932593336385972
CICSF040.WI,2018-08-07,0.07283985524855985,0.0425502435746935,1.3238966809088812,0.0
CICSF040.WI,2018-08-08,0.07167361815185602,0.04258132646491143,1.297411273172195,-0.0014756015647251486
CICSF040.WI,2018-08-09,0.06832698224711375,0.04247617901314857,1.2268641016652586,-0.0013485330841686016
CICSF040.WI,2018-08-10,0.067615803480646,0.042489929521431095,1.210804307158392,-0.002289743884813622
CICSF040.WI,2018-08-13,0.06419287297322573,0.042589304543428255,1.1326573171457845,-0.004943302910351499
CICSF040.WI,2018-08-14,0.06508884373667989,0.04256343124541291,1.1530971712947675,-0.005572806692239696
CICSF040.WI,2018-08-15,0.05987266355485876,0.0428942148261135,1.030051578518035,-0.010623716013497542
CICSF040.WI,2018-08-16,0.055965423734963604,0.04299793308827354,0.9417552679097868,-0.013413948992677782
CICSF040.WI,2018-08-17,0.05353964192381033,0.04303980922641814,0.8874335722004356,-0.01510564231139322
CICSF040.WI,2018-08-20,0.055195309683919946,0.0431125614383835,0.9224392013152043,-0.012166618670691687
CICSF040.WI,2018-08-21,0.05967620604761481,0.04299795583184136,1.0233571074676935,-0.010999836204710567
CICSF040.WI,2018-08-22,0.06621178490185176,0.04268292681754834,1.1746821099885332,-0.009888552027668251
CICSF040.WI,2018-08-23,0.06207841176902229,0.042662623019377295,1.0841531259051402,-0.011344628741873142
CICSF040.WI,2018-08-24,0.06638440828666559,0.04282450000911838,1.1747204958819413,-0.007412097835949649
CICSF040.WI,2018-08-27,0.06865541409642995,0.042939422275664475,1.221246973081457,-0.0038082247836397354
CICSF040.WI,2018-08-28,0.06485469897247542,0.04305571899348341,1.1352922442469597,-0.0067159207702910395
CICSF040.WI,2018-08-29,0.06902088907095805,0.043036200606795284,1.2265445219735434,-0.004730350199853461
CICSF040.WI,2018-08-30,0.0662430637862299,0.04304898649703191,1.16573760334328,-0.00597272083312228
CICSF040.WI,2018-08-31,0.06515625597550723,0.04306287861542363,1.1416874988645473,-0.006805634633292756
CICSF040.WI,2018-09-03,0.06292244728826502,0.04308210819937587,1.0924554475223958,-0.00799005852369894
CICSF040.WI,2018-09-04,0.06480684019670324,0.04303012303171719,1.1348971763191367,-0.008114866892941497
CICSF040.WI,2018-09-05,0.05763085961281922,0.042874512875012656,0.9811068723169386,-0.010259712530163778
CICSF040.WI,2018-09-06,0.05298273635594475,0.0427698127817506,0.8803999007641313,-0.011224780061348083
CICSF040.WI,2018-09-07,0.05343177788769671,0.04276262238709576,0.8905131608638303,-0.01151777838089263
CICSF040.WI,2018-09-10,0.05095629202005458,0.04282035426253813,0.8344155082394165,-0.013511133779190443
CICSF040.WI,2018-09-11,0.0508616827654087,0.04282026907810341,0.8323142431467384,-0.0133177687000825
CICSF040.WI,2018-09-12,0.050846908197907714,0.0428202056950972,0.8319870064194872,-0.012937253847980723
CICSF040.WI,2018-09-13,0.0539197739829651,0.042874248058387736,0.8991101631654328,-0.01051227996953108
CICSF040.WI,2018-09-14,0.05375342834904884,0.04286979558477308,0.8955163118373867,-0.009190805440263738
CICSF040.WI,2018-09-17,0.05557968963227933,0.042813953766520835,0.9370820664234621,-0.009486126651992222
CICSF040.WI,2018-09-18,0.05814510299933606,0.04280437368687344,0.9940037446210981,-0.008229567542139549
CICSF040.WI,2018-09-19,0.06251642090259057,0.0426987892717248,1.0929298094973976,-0.007035349836038263
CICSF040.WI,2018-09-20,0.06150349640018393,0.04270653620713796,1.0704004922787802,-0.007611238755082961
CICSF040.WI,2018-09-21,0.06134997354830718,0.04269938587911374,1.0671844590066601,-0.005362993025233576
CICSF040.WI,2018-09-25,0.06434688112942832,0.04266449134696161,1.1341286886101556,-0.004240345510750254
CICSF040.WI,2018-09-26,0.0682251937250542,0.042681386505692614,1.2189364303857988,-0.0019748978225646585
CICSF040.WI,2018-09-27,0.06925231424558298,0.042676809744294095,1.2415880724299224,-0.001430399338440247
CICSF040.WI,2018-09-28,0.06750325608097296,0.042609721774618844,1.2050447777925715,-0.00024911449152609233
CICSF040.WI,2018-10-08,0.06554372575692757,0.042672707931424615,1.1602619318786591,-0.0023647042434028487
CICSF040.WI,2018-10-09,0.06363856620259778,0.04261866609495263,1.1196785521728507,-0.0017296129640989033
CICSF040.WI,2018-10-10,0.06404291816933116,0.042610696677372724,1.128802232016421,-0.0021802540478123023
CICSF040.WI,2018-10-11,0.06445533932361647,0.04259312524158878,1.1383509116684198,-0.003660124711686641
CICSF040.WI,2018-10-12,0.06211840445872152,0.04245708326315093,1.0900841521091733,-0.0019072200448768672
CICSF040.WI,2018-10-15,0.06112451679728692,0.04247564316102032,1.067580204711024,-0.0029711674460596305
CICSF040.WI,2018-10-16,0.06229327939836837,0.04245770173518788,1.0939474283543782,-0.002869776341267727
CICSF040.WI,2018-10-17,0.06207865805342294,0.042458635758043976,1.0891642399976622,-0.002923140080631881
CICSF040.WI,2018-10-18,0.05938661889717278,0.042363295205603765,1.031598205034437,-0.0023744352782281153
CICSF040.WI,2018-10-19,0.05928276361205875,0.04235968136852404,1.0293676600835422,-0.0006428133262942337
CICSF040.WI,2018-10-22,0.05925327681318038,0.04235927343018967,1.0287198516240168,0.0
CICSF040.WI,2018-10-23,0.057168863537824466,0.04240910354886629,0.9811037298178316,-0.0018248140820008585
CICSF040.WI,2018-10-24,0.05844588058200517,0.04243589999101297,1.008965626026406,-6.032080121087802e-05
CICSF040.WI,2018-10-25,0.05402131357991857,0.0422987638117876,0.9130446030458488,-0.0005582027941398726
CICSF040.WI,2018-10-26,0.051198048928826845,0.042256276397642865,0.8504336171108691,-0.0010267089962606724
CICSF040.WI,2018-10-29,0.05268160098754704,0.04224200353893993,0.8840997997527977,-0.0005437032050870094
CICSF040.WI,2018-10-30,0.052116464712641086,0.0422374044429724,0.8714750619587249,-0.0002461791699782667
CICSF040.WI,2018-10-31,0.05341483047415663,0.042223600694543006,0.900960829286514,0.0
CICSF040.WI,2018-11-01,0.054198099232244834,0.0422372460436284,0.918284695741803,0.0
CICSF040.WI,2018-11-02,0.056132194513196065,0.04221677038770945,0.962137337050678,0.0
CICSF040.WI,2018-11-05,0.04991836818317674,0.042076003348289315,0.8249421893435679,-0.0017452790745962066
CICSF040.WI,2018-11-06,0.051440270878956085,0.0420629196108626,0.8596289934181266,-0.0012009754872347456
CICSF040.WI,2018-11-07,0.05134035645139878,0.042060989945245555,0.8574066976251841,-0.0001975527634681118
CICSF040.WI,2018-11-08,0.048236290674335436,0.04195884652802953,0.788908192803338,-3.902199481320423e-05
CICSF040.WI,2018-11-09,0.04691188062254059,0.04202842131419343,0.7575847871039172,-0.0027884754206843887
CICSF040.WI,2018-11-12,0.04561087318261392,0.04203729010719606,0.7278479208673648,-0.0035237550308151455
CICSF040.WI,2018-11-13,0.0469805742411038,0.04206886868840622,0.7584565869794576,-0.0016826434488929065
CICSF040.WI,2018-11-14,0.049617040009143354,0.04210144392805552,0.81765008445266,0.0
CICSF040.WI,2018-11-15,0.05252671246599694,0.042278103491252036,0.8798999034315318,0.0
CICSF040.WI,2018-11-16,0.05248836387408984,0.04227382518275722,0.879122643878221,0.0
CICSF040.WI,2018-11-19,0.053426000022325004,0.04228274544553726,0.9000105448977364,0.0
CICSF040.WI,2018-11-20,0.052800234621199094,0.042317236607764756,0.8852667796253606,-0.002538609740138753
CICSF040.WI,2018-11-21,0.053283132193802096,0.042335523029759604,0.8957367301179412,-0.0004276355558546774
CICSF040.WI,2018-11-22,0.05222795741895392,0.04233743362399012,0.8720192584038172,-0.000801483593598662
CICSF040.WI,2018-11-23,0.05044314263125349,0.04240469855065496,0.8306601407396348,-0.0031196140832330244
CICSF040.WI,2018-11-26,0.054762947044682875,0.04227719392357488,0.9301299579375785,-0.0021775889100549284
CICSF040.WI,2018-11-27,0.056569445234827986,0.042220079019912184,0.9718715160889946,-0.0025099189326672766
CICSF040.WI,2018-11-28,0.05941678740076495,0.042335602958793184,1.032918461685605,0.0
CICSF040.WI,2018-11-29,0.05679092524055562,0.042226805344164745,0.9766881594280776,0.0
CICSF040.WI,2018-11-30,0.05661035585034013,0.04222669539712991,0.9726429551731902,0.0
CICSF040.WI,2018-12-03,0.05909771755030868,0.042504611085762416,1.0218897333183752,0.0
CICSF040.WI,2018-12-04,0.05869351406308776,0.042503976404735605,1.012921440754845,0.0
CICSF040.WI,2018-12-05,0.059159231935508316,0.04245695841138626,1.0243572797844207,-0.004093285639890865
CICSF040.WI,2018-12-06,0.056152807503314195,0.042474674352920044,0.957009482722232,-0.005546126419578634
CICSF040.WI,2018-12-07,0.06108918792273266,0.0425444709045338,1.0651376719173802,-0.002367464920971618
CICSF040.WI,2018-12-10,0.06120617007664486,0.04254162537717805,1.0677980714992354,-0.003166063369939076
CICSF040.WI,2018-12-11,0.06448715297608287,0.042572382448750334,1.1395862787432458,-0.0009610221273531616
CICSF040.WI,2018-12-12,0.06873045335102645,0.0425422163733088,1.2339029525004586,0.0
CICSF040.WI,2018-12-13,0.0614669891739974,0.042840027328200976,1.066395137606572,-0.005010330337498536
CICSF040.WI,2018-12-14,0.05610559223023359,0.042889806622911246,0.9471163384452567,-0.007717546740694359
CICSF040.WI,2018-12-17,0.06357396798371129,0.042670097188371496,1.1169559223177057,-0.005312516960392921
CICSF040.WI,2018-12-18,0.07353156394917937,0.04162125214106141,1.3679944985689625,-0.005154240423655532
CICSF040.WI,2018-12-19,0.07387852542454709,0.04161207006415569,1.3760550568127292,-0.00588226337657749
CICSF040.WI,2018-12-20,0.0731856609067345,0.041527038339542785,1.3632421332203293,-0.0005294098434007743
CICSF040.WI,2018-12-21,0.06656390927030142,0.041308352727188975,1.2203692924573972,-0.001902142614895297
CICSF040.WI,2018-12-24,0.07303407178586441,0.041360643149550784,1.3651444763341412,0.0
CICSF040.WI,2018-12-25,0.06924320885374935,0.0412255625892013,1.283612183027635,0.0
CICSF040.WI,2018-12-26,0.0714756125619258,0.041146416016272856,1.3367047873725795,-0.00024403255524196865
CICSF040.WI,2018-12-27,0.07660710470909637,0.04119232443958765,1.4512801928480215,0.0
CICSF040.WI,2018-12-28,0.07399319710601904,0.04101896476157277,1.397962088859055,0.0
CICSF040.WI,2019-01-02,0.07285250561452461,0.04100341076031047,1.3725529668348901,0.0
CICSF040.WI,2019-01-03,0.07356441085129473,0.04103660636928142,1.3876448956360008,0.0
CICSF040.WI,2019-01-04,0.07171190707406083,0.04099648157625984,1.346824358003192,0.0
CICSF040.WI,2019-01-07,0.06735613778388583,0.040936589631953596,1.249223071843436,-0.0011684137558443108
CICSF040.WI,2019-01-08,0.06728282652195938,0.04093757839423852,1.2475155914280416,-0.001527593699829466
CICSF040.WI,2019-01-09,0.0635829795671583,0.04081964465055921,1.1659083664509768,-0.0016312325227257896
CICSF040.WI,2019-01-10,0.06724877296717313,0.040664821116918236,1.2548257579251572,-0.0014879617276719603
CICSF040.WI,2019-01-11,0.05868001290763458,0.040304840979489755,1.0656190728676458,-0.0034812311003513674
CICSF040.WI,2019-01-14,0.05670899495495352,0.0403493402314331,1.0182935066997083,-0.00514054640089423
CICSF040.WI,2019-01-15,0.05248059010804096,0.04016190019541504,0.9230042829835517,-0.005065172711515076
CICSF040.WI,2019-01-16,0.055343448316619304,0.040307611439992785,0.9872184409319469,-0.00136639126093141
CICSF040.WI,2019-01-17,0.05147290968221174,0.04017578425586859,0.8988516691003304,-0.0015609040077163572
CICSF040.WI,2019-01-18,0.052757720016893606,0.04016210405074961,0.9295564311732055,-0.0011945514061935114
CICSF040.WI,2019-01-21,0.05097971037813598,0.04019937495444938,0.8866743822263167,-0.0027164920793194547
CICSF040.WI,2019-01-22,0.04530714831883542,0.04004296841777489,0.7548011246366731,-0.004079297011481797
CICSF040.WI,2019-01-23,0.04420443604720181,0.04002616503702311,0.7287270118106554,-0.0037973750991103783
CICSF040.WI,2019-01-24,0.04217715556085655,0.04003095749896789,0.6800901679065786,-0.004693045512822014
CICSF040.WI,2019-01-25,0.041073748910241514,0.039993857419637374,0.6541928917559919,-0.0036697261090326005
CICSF040.WI,2019-01-28,0.045599151846055896,0.04004838427966747,0.7616798478187644,-0.0008376813010764206
CICSF040.WI,2019-01-29,0.047851715124938465,0.0400974372607324,0.8144762301092137,0.0
CICSF040.WI,2019-01-30,0.053050953730637396,0.040024512636911924,0.9395744470564967,0.0
CICSF040.WI,2019-01-31,0.05416327873159532,0.04006791053833249,0.9649539774896557,0.0
CICSF040.WI,2019-02-01,0.05624161806065908,0.040089664562161856,1.0135928081900176,0.0
CICSF040.WI,2019-02-11,0.05370348910858014,0.03995438978359704,0.956661482984427,0.0
CICSF040.WI,2019-02-12,0.04962308562445794,0.03977323614866427,0.8632666291050335,0.0
CICSF040.WI,2019-02-13,0.05219946214192128,0.039760209671594764,0.9252075602028041,0.0
CICSF040.WI,2019-02-14,0.05245427631633137,0.03975507434026714,0.9314140909264886,-0.0005138229692709384
CICSF040.WI,2019-02-15,0.05081308070862156,0.03975845922058645,0.8920777906633113,-0.0011768339381695858
CICSF040.WI,2019-02-18,0.061724254843590565,0.03987674261791451,1.1486526371343915,0.0
CICSF040.WI,2019-02-19,0.06845277868707789,0.039407068211486256,1.322221398213985,0.0
CICSF040.WI,2019-02-20,0.0682025519102496,0.039385636892798705,1.316971112880273,0.0
CICSF040.WI,2019-02-21,0.07016276006579525,0.039261912440473265,1.3677059568459793,-0.0014664828671624441
CICSF040.WI,2019-02-22,0.07045146366754396,0.03926286611220905,1.3745456390584387,-0.0009214432496363889
CICSF040.WI,2019-02-25,0.07241327771842498,0.03928272750434453,1.4204946610731477,0.0
CICSF040.WI,2019-02-26,0.07856049510936924,0.03846015513615398,1.5987015029977687,-0.002467161295110598
CICSF040.WI,2019-02-27,0.08467417858952886,0.03797858733930753,1.7673656673420477,-0.0025875745988731547
CICSF040.WI,2019-02-28,0.08627251431683214,0.03785820186779888,1.811772620867891,-0.004616121493446812
CICSF040.WI,2019-03-01,0.09930009186261413,0.036117897150424766,2.2274739439214652,-0.003740204124394131
CICSF040.WI,2019-03-04,0.09507225657516338,0.03602337055870985,2.1262172260162613,-0.004415830057485359
CICSF040.WI,2019-03-05,0.09092885209829715,0.035886962783340366,2.0284924557745314,-0.004671201638336231
CICSF040.WI,2019-03-06,0.08723594120751699,0.03574036756206735,1.9417598456468366,-0.004490164408867514
CICSF040.WI,2019-03-07,0.08202857825619536,0.03554154338625672,1.817297697547545,-0.005099801467075116
CICSF040.WI,2019-03-08,0.07392098689874893,0.035864593170698914,1.5914769826440789,-0.010059160486791674
CICSF040.WI,2019-03-11,0.07360331143284404,0.035837908297557695,1.5843778445927927,-0.006746662032940165
CICSF040.WI,2019-03-12,0.0811143969536614,0.03553619929684758,1.7937733594010778,-0.004522175272293483
CICSF040.WI,2019-03-13,0.08480663168454883,0.0352374848937983,1.9054653499678305,-0.005595284328894001
CICSF040.WI,2019-03-14,0.08218677495706572,0.03526190819248818,1.8355763248723926,-0.0068311897877595396
CICSF040.WI,2019-03-15,0.08712492845049224,0.03525894889671759,1.9648922961176285,-0.004269605387124287
CICSF040.WI,2019-03-18,0.08979691051464056,0.03537889636717702,2.0277598565147157,-0.000999430421228964
CICSF040.WI,2019-03-19,0.08690673961610784,0.03527113687009459,1.9585326672600334,-0.0005662405804158777
CICSF040.WI,2019-03-20,0.08886465880132977,0.03515302332167991,2.016209976695718,-0.001637024825706268
CICSF040.WI,2019-03-21,0.08950591997750479,0.03516367179265452,2.032358947448227,-0.0003701814932500769
CICSF040.WI,2019-03-22,0.08531904150200131,0.03497164574708105,1.9331920260630573,-0.00022598358146708186
CICSF040.WI,2019-03-25,0.08045833036831329,0.03514448818937065,1.7960957613509394,-0.0034947875047948163
CICSF040.WI,2019-03-26,0.08311384418261536,0.0350372861819013,1.871567215957375,-0.0034827461744186827
CICSF040.WI,2019-03-27,0.08528802749730002,0.03501860975723237,1.9298300460542177,-0.0024852232906749094
CICSF040.WI,2019-03-28,0.08451517991756075,0.03501098178485612,1.9098893371638384,-0.0021434760280657494
CICSF040.WI,2019-03-29,0.08890291094688041,0.03533212167948437,2.0071619509212977,0.0
CICSF040.WI,2019-04-01,0.09146503938551898,0.03543174177516708,2.0679701881014827,0.0
CICSF040.WI,2019-04-02,0.08936919849453107,0.035382174709390035,2.016476405511441,0.0
CICSF040.WI,2019-04-03,0.08396935825423824,0.035140233465782156,1.8886619794008452,-0.0004507975236109907
CICSF040.WI,2019-04-04,0.08711180104203065,0.03494307379394347,1.9819920859437472,-0.001059936936921524
CICSF040.WI,2019-04-08,0.08967871336717725,0.034954877591552136,2.0488283042024764,0.0
CICSF040.WI,2019-04-09,0.09072751684507963,0.034935676198372775,2.0774818106322885,0.0
CICSF040.WI,2019-04-10,0.09251199622675266,0.034845800910549084,2.1296793925922244,-0.000747245066548885
CICSF040.WI,2019-04-11,0.09400203461840517,0.03469778537224957,2.1779102060186712,-0.003483947253400843
CICSF040.WI,2019-04-12,0.08745878317578293,0.034706363298501935,2.0044713894246033,-0.006177261398920386
CICSF040.WI,2019-04-15,0.08324658176578481,0.03499834095412789,1.8771132238346546,-0.010377377700180435
CICSF040.WI,2019-04-16,0.08355121214761962,0.035008964513411955,1.884588408969554,-0.008619540505844236
CICSF040.WI,2019-04-17,0.08505156490058163,0.03502245514994103,1.923397746134881,-0.0072754583032044184
CICSF040.WI,2019-04-18,0.08470072765999515,0.035020220012722134,1.9142809153478655,-0.006873482602401726
CICSF040.WI,2019-04-19,0.07953516652366988,0.03476096825125328,1.790930455288298,-0.0070653252244459175
CICSF040.WI,2019-04-22,0.0754951766909826,0.03471609060151521,1.685168070646325,-0.008220583618285593
CICSF040.WI,2019-04-23,0.07480753171239063,0.034694616251610466,1.6677498492043352,-0.00710119582887625
CICSF040.WI,2019-04-24,0.07451794393832056,0.03471702565198432,1.6589316175022337,-0.009810255157198466
CICSF040.WI,2019-04-25,0.0738676148234847,0.03470967050901119,1.641828666988605,-0.00941094311514068
CICSF040.WI,2019-04-26,0.0719055256242398,0.03476995635379661,1.5864302413701894,-0.011167892423228576
CICSF040.WI,2019-04-29,0.07036770407782567,0.03480533521977662,1.543592387893594,-0.012450059358155352
CICSF040.WI,2019-04-30,0.06017682335039898,0.03311748097620545,1.3316118015678602,-0.01109526332811972
CICSF040.WI,2019-05-06,0.06452821094603567,0.03325542553500305,1.4494226308841975,-0.0077283394822414975
CICSF040.WI,2019-05-07,0.06676692601849799,0.03318725073757776,1.515649676576234,-0.007500744640600243
CICSF040.WI,2019-05-08,0.07003548654232694,0.03310273706125466,1.6118777271888145,-0.006626531840547956
CICSF040.WI,2019-05-09,0.06876238535090473,0.033098710000823706,1.5760925220984336,-0.006840630811215553
CICSF040.WI,2019-05-10,0.07246450301344964,0.03297930698527013,1.6865600316314389,-0.005983406234713606
CICSF040.WI,2019-05-13,0.07751966519795195,0.03317783851878113,1.8184422089918235,-0.001974540631332178
CICSF040.WI,2019-05-14,0.07938985238634277,0.03320246520021337,1.8693628517468102,-0.0003389949695916661
CICSF040.WI,2019-05-15,0.08111953350230205,0.033125237508270865,1.9219959937159286,-0.0008259709805626958
CICSF040.WI,2019-05-16,0.08288377596827767,0.03318809858772411,1.9675636346769565,0.0
CICSF040.WI,2019-05-17,0.07968679853339045,0.03320693600116208,1.8774014429842099,-0.00137677844717643
CICSF040.WI,2019-05-20,0.07749205065156106,0.03325060853410898,1.81376375327572,-0.0028000089831011765
CICSF040.WI,2019-05-21,0.0750484519394572,0.03336137558331939,1.7397762353345945,-0.005253518479775621
CICSF040.WI,2019-05-22,0.0735588703260972,0.03340262512965709,1.6961465681038495,-0.006642175896212077
CICSF040.WI,2019-05-23,0.07087380275932342,0.03342932565293767,1.6198865907790143,-0.00796133247757469
CICSF040.WI,2019-05-24,0.07037536805011713,0.033438661078902844,1.6055171900642167,-0.008584003224460512
CICSF040.WI,2019-05-27,0.0670493970369026,0.033459246056910974,1.5115126623351234,-0.010081580742122398
CICSF040.WI,2019-05-28,0.07147713895932695,0.033316278754460735,1.6421807884011261,-0.00890609467952197
CICSF040.WI,2019-05-29,0.0717054089139566,0.03332122846626795,1.6483364529332494,-0.0077628177624277095
CICSF040.WI,2019-05-30,0.07098013499240086,0.03335209161542143,1.6265384206720976,-0.009328595929473216
CICSF040.WI,2019-05-31,0.07177359838137276,0.03338867199305534,1.6469800840041209,-0.007064499848114747
CICSF040.WI,2019-06-03,0.07412742381566395,0.033608172000315836,1.7017343470409134,-0.002388854808264007
CICSF040.WI,2019-06-04,0.07825114384030663,0.03389881882842631,1.800500172421533,0.0
CICSF040.WI,2019-06-05,0.07994017534667619,0.0339633119265099,1.8432451578363382,0.0
CICSF040.WI,2019-06-06,0.08058833952714806,0.03395185277048164,1.8615335485752844,-3.758250948837638e-05
CICSF040.WI,2019-06-10,0.081004435492255,0.03394546269788549,1.8732225616095974,-9.58677472079339e-05
CICSF040.WI,2019-06-11,0.0800730364647666,0.03396000159170263,1.8470451109805153,-0.0007875270767571108
CICSF040.WI,2019-06-12,0.08298379493509933,0.03403684521441013,1.9220475524947662,0.0
CICSF040.WI,2019-06-13,0.08534261419783928,0.03403245065806895,1.9862423223676247,0.0
CICSF040.WI,2019-06-14,0.08961729806150753,0.034334542818789886,2.0835892073803293,0.0
CICSF040.WI,2019-06-17,0.0875177925017292,0.03446086068541475,2.0200911095004663,-0.0028715564804588922
CICSF040.WI,2019-06-18,0.08886755311527561,0.03449031939702869,2.0543699820537533,-0.0011033497797325875
CICSF040.WI,2019-06-19,0.08700903774506874,0.03453327189624748,2.002372890818101,-0.002483412123195805
CICSF040.WI,2019-06-20,0.09500568413765365,0.035561037444297804,2.1516900083203065,0.0
CICSF040.WI,2019-06-21,0.09378236456061417,0.03550161311112948,2.1237351096478982,0.0
CICSF040.WI,2019-06-24,0.09842036652657149,0.035351992965687695,2.2523101272916324,0.0
CICSF040.WI,2019-06-25,0.10063183732360126,0.03547649756458108,2.3012443391859922,0.0
CICSF040.WI,2019-06-26,0.09694660544249678,0.03579322953230507,2.187458378522026,-0.004657454242180892
CICSF040.WI,2019-06-27,0.0980617895481466,0.03579404714648778,2.2158074394590246,-0.0037529532785854913
CICSF040.WI,2019-06-28,0.10160460719759534,0.035766839052248256,2.3075621185004263,-0.002069339698169359
CICSF040.WI,2019-07-01,0.09988563947448004,0.03587522650158471,2.2571519977772936,-0.0049406003665464215
CICSF040.WI,2019-07-02,0.10873592791622633,0.03622534937794302,2.457005219236598,0.0
CICSF040.WI,2019-07-03,0.11520536312404595,0.03670843950684592,2.5837060284272453,0.0
CICSF040.WI,2019-07-04,0.11377382918247503,0.03679329002766797,2.5429065339252275,-0.0026309507643708097
CICSF040.WI,2019-07-05,0.11041994944591549,0.03668559032259867,2.4680226365404128,-0.0024131104424702787
CICSF040.WI,2019-07-08,0.10759086430732911,0.03691343747407233,2.383879239380122,-0.006544815214516886
CICSF040.WI,2019-07-09,0.10186530708302421,0.03691217558819478,2.243495316799013,-0.008716014265396366
CICSF040.WI,2019-07-10,0.10071885647089296,0.03692089639661562,2.214767657070857,-0.009155068289510293
CICSF040.WI,2019-07-11,0.10192946631872868,0.03704144306923415,2.237366483012824,-0.0042409679886220575
