指数代码,指数简称,发布切分锚点,发布前日收益数,发布后日收益数,mean_delta,ci_low,ci_high,probability_post_gt_pre,说明
CI011800.WI,国泰海通资产配置,2023-11-10,206,662,0.21757390146989547,0.011268665232326041,0.4257379579051638,0.9802,21日移动区块bootstrap；仅衡量均值差不确定性，不是技能因果检验
CI011001.WI,国泰海通全天候,2019-08-01,2569,1699,0.003979857183356931,-0.03631364791977081,0.0454423000528031,0.5726,21日移动区块bootstrap；仅衡量均值差不确定性，不是技能因果检验
GALLW.WI,银河全天候,2025-11-20,1064,171,-0.04076248318299361,-0.3031880691982699,0.20918185447002907,0.3772,21日移动区块bootstrap；仅衡量均值差不确定性，不是技能因果检验
