指数代码,指数简称,原始表观测数,原始表起始日,原始表截止日,手工表正值观测数,手工表起始日,手工表截止日,共同日期数,手工表额外日期数,共同日期最大绝对点位差,共同日期平均绝对点位差,是否在两位小数舍入误差内
CI011800.WI,国泰海通资产配置,869,2023-01-03,2026-08-05,938,2023-01-02,2026-08-05,869,69,0.005000000000109139,0.002584004602997562,True
CICSF040.WI,中信期货大类资产配置,2816,2015-01-05,2026-08-05,3023,2015-01-05,2026-08-05,2816,207,0.005000000000109139,0.002472265624997946,True
CI011001.WI,国泰海通全天候,4269,2009-01-08,2026-08-05,4585,2009-01-08,2026-08-05,4269,316,0.005000000000109139,0.002492972593114163,True
GALLW.WI,银河全天候,1236,2021-07-01,2026-08-05,1330,2021-07-01,2026-08-05,1236,94,0.005000000000109139,0.0024574433656929804,True
