指数代码,指数简称,best_year,best_year_return,full_total_return,full_annual_return,counterfactual_total_return,counterfactual_annual_return,annual_return_drop
CI011800.WI,国泰海通资产配置,2025,0.32975353625112236,0.6298268849597817,0.1459017747409661,0.22566087664232448,0.05837268867939982,0.08752908606156629
CICSF040.WI,中信期货大类资产配置,2016,0.20963668144503322,2.4321336000000002,0.11235570969359565,1.837325994363837,0.09422538386786505,0.018130325825730598
CI011001.WI,国泰海通全天候,2024,0.15743258548763905,3.3551449,0.08733921963558755,2.762763338968142,0.07832970911297155,0.009009510522616004
GALLW.WI,银河全天候,2025,0.20191060721126153,0.6856315,0.10791070098532773,0.40245995824189795,0.06863386320067266,0.03927683778465507
