secID,publishDate,secShortName,ticker,porgFullName,baseDate,returnType,wMethodCD,pubName,query
801639.ZICN,2025-12-31,华安ETF大类资产配置,801639,上海申银万国证券研究所有限公司,2018-12-28,P,I53,上海申银万国证券研究所有限公司,简称_资产配置
931995.ZICN,2022-07-15,中证国泰海通大类资产配置,931995,中证指数有限公司,2017-12-29,TR,O,中证指数有限公司,简称_资产配置
